genre,name,title,id_album_deezer,deezerFans
Rock,Aerosmith,Aerosmith,1236508.0,3550.0
Rock,Aerosmith,Toys In The Attic,1236511.0,5423.0
Rock,Aerosmith,Rocks,1236508.0,3550.0
Rock,Aerosmith,Draw The Line,1247146.0,1921.0
Rock,Aerosmith,Night In The Ruts,1236508.0,3550.0
Rock,Aerosmith,Greatest Hits,1236513.0,20408.0
Rock,Aerosmith,Permanent Vacation,119281.0,26025.0
Rock,Aerosmith,Gems,1236508.0,3550.0
Rock,Aerosmith,Pandora's Box,1236508.0,3550.0
Rock,Aerosmith,Get A Grip,103242.0,26535.0
Rock,Aerosmith,Big Ones,119281.0,26025.0
Rock,Aerosmith,Box Of Fire,248526.0,13391.0
Rock,Aerosmith,Pandora's Toys,1236508.0,3550.0
Rock,Aerosmith,Nine Lives,1207337.0,11872.0
Rock,Aerosmith,Young Lust: The Aerosmith Anthology,119281.0,26025.0
Rock,Aerosmith,"O, Yeah! The Ultimate Aerosmith Hits",119281.0,26025.0
Rock,Aerosmith,Devil's Got A New Disguise - The Very Best Of Aerosmith,71682.0,11400.0
Rock,Aerosmith,Music From Another Dimension!,6025519.0,1611.0
EBM,Aesthetic Perfection,Close To Human,6544857.0,189.0
Aggrotech,Aesthetic Perfection,A Violent Emotion,8664259.0,301.0
Aggrotech,Aesthetic Perfection,All Beauty Destroyed,5142121.0,333.0
Disco,Afric Simone,Ramaya,2658861.0,403.0
Electronic,Afrika Bambaataa,Planet Rock: The Album,7082152.0,665.0
House,Afrojack,It's A Matter Of...,6697868.0,3460.0
Christmas,Afroman,Jobe Bells,2919711.0,844.0
Metalcore,After The Burial,Rareform,6545904.0,535.0
Rock,After The Tragedy,The Beautiful Brand New,6488677.0,0.0
Rock,After The Tragedy,The Voyage Of Reason,7423815.0,6.0
Pop,Against The Current,Infinity,7812098.0,4896.0
Pop,Against The Current,Gravity,9646026.0,4993.0
Noise,Agalloch,The Grey EP,7240977.0,1250.0
Rock,Agents Of The Sun,Aurora,6440277.0,0.0
Pop,Agnes,Agnes,75003.0,1165.0
Pop,Agnes,Stronger,438280.0,597.0
Pop,Agnes,Dance Love Pop,7585992.0,220.0
Pop,Agnes,Veritas,7594040.0,491.0
Folk,Agnes Obel,Philharmonics,650084.0,67980.0
Folk,Agnes Obel,Aventine,6982745.0,78972.0
Pop,Agnetha Fältskog,Elva Kvinnor I Ett Hus,224207.0,173.0
Pop,Agnetha Fältskog,Tio År Med Agnetha,224207.0,173.0
Pop,Agnetha Fältskog,Wrap Your Arms Around Me,126136.0,193.0
Pop,Agnetha Fältskog,Eyes Of A Woman,227446.0,135.0
Pop,Agnetha Fältskog,Sjung Denna Sång,224207.0,173.0
