_id,genre,id_artist,name,publicationDate,title,urlAlbum,id_album_deezer,deezerFans,language
ObjectId(5714debf25ac0d8aee375e37),Hard Rock,ObjectId(56d96ebdcc2ddd0c0f6bb629),Slash,2010,Slash,http://lyrics.wikia.com/Slash:Slash_%282010%29,519026.0,11074,eng
ObjectId(5714debf25ac0d8aee375e38),Hard Rock,ObjectId(56d96ebdcc2ddd0c0f6bb629),Slash,2012,Apocalyptic Love,http://lyrics.wikia.com/Slash:Apocalyptic_Love_%282012%29,2657301.0,17259,eng
ObjectId(5714debf25ac0d8aee375fee),Indie,ObjectId(56d96f26cc2ddd0c0f6bb6c4),Slow Moving Millie,2011,Renditions,http://lyrics.wikia.com/Slow_Moving_Millie:Renditions_%282011%29,1373394.0,421,eng
ObjectId(5714debf25ac0d8aee3761e3),Hip Hop,ObjectId(56d96fafcc2ddd0c0f6bb793),Snoop Dogg,1993,Doggystyle,http://lyrics.wikia.com/Snoop_Dogg:Doggystyle_%281993%29,6456781.0,41575,eng
ObjectId(5714debf25ac0d8aee3761e4),Hip Hop,ObjectId(56d96fafcc2ddd0c0f6bb793),Snoop Dogg,1996,Tha Doggfather,http://lyrics.wikia.com/Snoop_Dogg:Tha_Doggfather_%281996%29,6456788.0,8006,eng
ObjectId(5714debf25ac0d8aee3761e5),Hip Hop,ObjectId(56d96fafcc2ddd0c0f6bb793),Snoop Dogg,1998,"Da Game Is To Be Sold, Not To Be Told",http://lyrics.wikia.com/Snoop_Dogg:Da_Game_Is_To_Be_Sold%2C_Not_To_Be_Told_%281998%29,311817.0,7990,eng
ObjectId(5714debf25ac0d8aee3761e6),Hip Hop,ObjectId(56d96fafcc2ddd0c0f6bb793),Snoop Dogg,1999,No Limit Top Dogg,http://lyrics.wikia.com/Snoop_Dogg:No_Limit_Top_Dogg_%281999%29,301666.0,11143,eng
ObjectId(5714debf25ac0d8aee3761ec),Hip Hop,ObjectId(56d96fafcc2ddd0c0f6bb793),Snoop Dogg,2006,Tha Blue Carpet Treatment,http://lyrics.wikia.com/Snoop_Dogg:Tha_Blue_Carpet_Treatment_%282006%29,161329.0,22719,eng
ObjectId(5714debf25ac0d8aee3761ed),Hip Hop,ObjectId(56d96fafcc2ddd0c0f6bb793),Snoop Dogg,2008,Ego Trippin',http://lyrics.wikia.com/Snoop_Dogg:Ego_Trippin%27_%282008%29,117428.0,8358,eng
ObjectId(5714debf25ac0d8aee376205),Reggae Fusion,ObjectId(56d96fb4cc2ddd0c0f6bb79b),Snow,1993,12 Inches Of Snow,http://lyrics.wikia.com/Snow:12_Inches_Of_Snow_%281993%29,362849.0,1681,eng
ObjectId(5714debf25ac0d8aee376206),Pop,ObjectId(56d96fb4cc2ddd0c0f6bb79b),Snow,1995,Murder Love,http://lyrics.wikia.com/Snow:Murder_Love_%281995%29,345339.0,188,eng
ObjectId(5714debf25ac0d8aee376207),Reggae Fusion,ObjectId(56d96fb4cc2ddd0c0f6bb79b),Snow,1997,Justuss,http://lyrics.wikia.com/Snow:Justuss_%281997%29,365994.0,121,eng
ObjectId(5714debf25ac0d8aee376208),Reggae,ObjectId(56d96fb4cc2ddd0c0f6bb79b),Snow,1999,Cooler Conditions,http://lyrics.wikia.com/Snow:Cooler_Conditions_%281999%29,311790.0,89,eng
ObjectId(5714debf25ac0d8aee3765bb),Blues,ObjectId(56d9709dcc2ddd0c0f6bb91a),Sonny Boy Williamson II,1969,Bummer Road,http://lyrics.wikia.com/Sonny_Boy_Williamson_II:Bummer_Road_%281969%29,1129639.0,76,eng
ObjectId(5714debf25ac0d8aee3768e1),Alternative Rock,ObjectId(56d97176cc2ddd0c0f6bba6e),Spaceman Spiff,2014,Endlich Nichts,http://lyrics.wikia.com/Spaceman_Spiff:Endlich_Nichts_%282014%29,7263942.0,713,deu
ObjectId(5714debf25ac0d8aee376a83),Indie Rock,ObjectId(56d971eecc2ddd0c0f6bbb20),Spiral Stairs,2009,The Real Feel,http://lyrics.wikia.com/Spiral_Stairs:The_Real_Feel_%282009%29,427469.0,38,eng
ObjectId(5714debf25ac0d8aee376d66),Dance,ObjectId(56d9729ccc2ddd0c0f6bbc3a),Stan Walker,2012,Let The Music Play,http://lyrics.wikia.com/Stan_Walker:Let_The_Music_Play_%282012%29,1331632.0,337,eng
ObjectId(5714debf25ac0d8aee376e7f),Rock,ObjectId(56d972efcc2ddd0c0f6bbcc0),Stas Sagdeyev,2011,So I Begin,http://lyrics.wikia.com/Stas_Sagdeyev:So_I_Begin_%282011%29,7104752.0,0,eng
ObjectId(5714debf25ac0d8aee376e80),Rock,ObjectId(56d972efcc2ddd0c0f6bbcc0),Stas Sagdeyev,2012,Dreambird,http://lyrics.wikia.com/Stas_Sagdeyev:Dreambird_%282012%29,7077879.0,0,eng
ObjectId(5714debf25ac0d8aee377099),Pop,ObjectId(56d97380cc2ddd0c0f6bbd9e),Stephen Bishop,1978,Bish,http://lyrics.wikia.com/Stephen_Bishop:Bish_%281978%29,118161.0,146,eng
ObjectId(5714debf25ac0d8aee37709a),Pop,ObjectId(56d97380cc2ddd0c0f6bbd9e),Stephen Bishop,1980,Red Cab To Manhattan,http://lyrics.wikia.com/Stephen_Bishop:Red_Cab_To_Manhattan_%281980%29,273311.0,160,eng
ObjectId(5714debf25ac0d8aee37709c),Pop,ObjectId(56d97380cc2ddd0c0f6bbd9e),Stephen Bishop,1989,Bowling In Paris,http://lyrics.wikia.com/Stephen_Bishop:Bowling_In_Paris_%281989%29,11198058.0,20,eng
ObjectId(5714debf25ac0d8aee37709e),Pop,ObjectId(56d97380cc2ddd0c0f6bbd9e),Stephen Bishop,1994,On And On: The Hits Of,http://lyrics.wikia.com/Stephen_Bishop:On_And_On:_The_Hits_Of_%281994%29,7835945.0,22,eng
ObjectId(5714debf25ac0d8aee3770ea),Reggae,ObjectId(56d97393cc2ddd0c0f6bbdb9),Stephen Marley,2008,Mind Control Acoustic,http://lyrics.wikia.com/Stephen_Marley:Mind_Control_Acoustic_%282008%29,9014827.0,1860,eng
ObjectId(5714debf25ac0d8aee3770eb),Reggae,ObjectId(56d97393cc2ddd0c0f6bbdb9),Stephen Marley,2011,Revelation Part 1: The Root Of Life,http://lyrics.wikia.com/Stephen_Marley:Revelation_Part_1:_The_Root_Of_Life_%282011%29,978377.0,9818,eng
ObjectId(5714debf25ac0d8aee3771f5),Rockabilly,ObjectId(56d973e7cc2ddd0c0f6bbe1a),Steve Earle,1986,Guitar Town,http://lyrics.wikia.com/Steve_Earle:Guitar_Town_%281986%29,228197.0,652,eng
ObjectId(5714debf25ac0d8aee3771f6),Rockabilly,ObjectId(56d973e7cc2ddd0c0f6bbe1a),Steve Earle,1987,Early Tracks,http://lyrics.wikia.com/Steve_Earle:Early_Tracks_%281987%29,100421.0,1558,eng
ObjectId(5714debf25ac0d8aee3771f8),Country Rock,ObjectId(56d973e7cc2ddd0c0f6bbe1a),Steve Earle,1988,Copperhead Road,http://lyrics.wikia.com/Steve_Earle:Copperhead_Road_%281988%29,100421.0,1558,eng
